setting,system,method,method_label,seed,noise,sparse_factor,equation,candidate_id,threshold,support_size,rss,bic,ebic,active_terms,coefficients,n_regression_rows,n_library_terms,delta_ebic_from_best,true_support_size,true_active_terms,support_f1,coef_error,exact_support,exact_k
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dx/dt,5,0.01,1,5.050241069037216,-965.0887596541049,-962.7861745611109,2,"[0.0, 0.0, 0.9956011744208769, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,0.0,1,2,1.0,0.004398825579123078,1,1
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dx/dt,4,0.003,8,4.964723964870731,-930.7190808096565,-926.9124183198861,0;2;3;4;5;7;8;9,"[-0.029307469560731696, 0.0, 0.9697274160925613, 0.008924172317178453, -0.01543667155556838, 0.00482853846608455, 0.0, 0.015201997748105097, -0.015350598784142088, 0.004522283904310956]",249,10,35.87375624122478,1,2,0.2222222222222222,0.05102740678049459,0,0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dx/dt,0,0.0,10,4.941424873698596,-920.8554645852595,-920.8554645852595,0;1;2;3;4;5;6;7;8;9,"[-0.029203605567706136, 0.0024854795440279694, 0.9530335713559669, 0.009203636972548114, -0.01477133799635651, 0.004667818121549947, 0.0018435809406297731, 0.02631055863668888, -0.023712947886049638, 0.007003845630452585]",249,10,41.930709975851414,1,2,0.18181818181818182,0.06853147838442518,0,0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,9,1.0,2,554.9287042850409,210.58020611521326,214.3868686049836,2;7,"[0.0, 0.0, 1.9232605237965728, 0.0, 0.0, 0.0, 0.0, -1.9038439152452262, 0.0, 0.0]",249,10,1111.472266573263,3,1;2;7,0.8,0.3358463504248704,0,0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,7,0.1,3,7.695177970821502,-849.1855326416164,-844.3980408988343,1;2;7,"[0.0, -0.9886341402217548, 1.9388248952863942, 0.0, 0.0, 0.0, 0.0, -1.9296848055596825, 0.0, 0.0]",249,10,52.687357069445056,3,1;2;7,1.0,0.03129750216231148,1,1
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,6,0.03,5,5.939954805391709,-902.6148270557908,-897.0853979682794,1;2;7;8;9,"[0.0, -1.0280026874180495, 2.2474641437545584, 0.0, 0.0, 0.0, 0.0, -2.0961207114409306, 0.12350070557186518, -0.043205963643951184]",249,10,0.0,3,1;2;7,0.75,0.09909648703599232,0,0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,5,0.01,9,5.626352777802066,-894.0508033125486,-891.7482182195546,0;1;2;4;5;6;7;8;9,"[-0.036961265164704014, -0.9709023868350086, 2.2715468394937894, 0.0, -0.03031234350259506, 0.01088949112680923, -0.017238601319993826, -2.0995230922194392, 0.12081492566324523, -0.044970356167678235]",249,10,5.337179748724793,3,1;2;7,0.5,0.10739775804426638,0,0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,0,0.0,10,5.6195551237580466,-888.8343694316973,-888.8343694316973,0;1;2;3;4;5;6;7;8;9,"[-0.05706364400862859, -0.9703360373182893, 2.2694666790715057, 0.006325333803490177, -0.03556238590458258, 0.013595873802008211, -0.01736179363186363, -2.0988024642142142, 0.12023811128817835, -0.044705645074715715]",249,10,8.251028536582112,3,1;2;7,0.46153846153846156,0.10788738939970631,0,0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,9,1.0,0,520.634447566267,183.66122045652716,183.66122045652716,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,1150.0391086313227,1,2,0.0,1.0,0,0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,5,0.01,1,4.977916479717758,-968.6804732677896,-966.3778881747955,2,"[0.0, 0.0, 0.99299885092701, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,0.0,1,2,1.0,0.007001149072989987,1,1
