system,method,noise,mean,sd,n,median,maximum,axis,axis_value,sparse_factor
burgers,baseline,,0.35498542386428616,0.24494106837834223,40,0.3185967966984392,0.7704116503340303,sparse_factor,32.0,32.0
burgers,pod_edmd_rbf,,0.17717749405551114,0.18335618978487944,40,0.17067508977724125,0.6741537844097912,sparse_factor,4.0,4.0
burgers,pod_edmd_rbf,,0.22078896822295166,0.21791229305978033,40,0.19538135037561485,0.7149838813176542,sparse_factor,8.0,8.0
burgers,pod_edmd_rbf,,0.3000019002476317,0.30238097172573286,40,0.2297770496983958,0.9866708852746268,sparse_factor,16.0,16.0
burgers,pod_edmd_rbf,,0.33015808638238153,0.28620667141318934,40,0.26128384363477186,0.9064148867204728,sparse_factor,32.0,32.0
burgers,pydmd_optdmd,,0.13161437597836098,0.1083425658662948,40,0.1655173175719866,0.2980921252399585,sparse_factor,4.0,4.0
burgers,pydmd_optdmd,,0.15576304972032778,0.13132386005894128,40,0.17487843461766625,0.3732802321957188,sparse_factor,8.0,8.0
burgers,pydmd_optdmd,,0.19565780499534857,0.1695773560539234,40,0.2007831746620672,0.491436832013841,sparse_factor,16.0,16.0
burgers,pydmd_optdmd,,19.311765720282704,118.96605167238438,39,0.2252299231934547,743.2033780429803,sparse_factor,32.0,32.0
fisher_kpp,baseline,,0.06298673994174644,0.13753162883418363,40,0.040194814626266756,0.6511724869320819,sparse_factor,4.0,4.0
fisher_kpp,baseline,,0.032605668186811626,0.01780662341174529,40,0.0411421636362575,0.0618287566190035,sparse_factor,8.0,8.0
fisher_kpp,baseline,,0.03209451658858703,0.0178896968318329,40,0.04044123218754025,0.0583149957820768,sparse_factor,16.0,16.0
fisher_kpp,baseline,,0.031074269550859394,0.014941166439181466,40,0.0359530319969141,0.0677445608569586,sparse_factor,32.0,32.0
fisher_kpp,pod_edmd_rbf,,0.2907994679120631,0.7006764709673748,40,0.03967499904821285,2.9320905636834667,sparse_factor,4.0,4.0
fisher_kpp,pod_edmd_rbf,,0.06434612093300608,0.14863860506267518,40,0.039509075513380745,0.8513231747433201,sparse_factor,8.0,8.0
fisher_kpp,pod_edmd_rbf,,0.08202826612389803,0.29635379603784273,40,0.039492069966263796,1.9042011605926945,sparse_factor,16.0,16.0
