system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,support_f1,coef_error,practical_score,threshold,status
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,5,5,0.8235294117647058,0.042588380626140794,0.7898893053748823,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,5,5,0.5,0.07296865990689601,0.46599683540000714,0.03,ok
lorenz63,baseline,Baseline,8,0.04,0.05,6,1,0.8571428571428571,0.14654289415645672,0.7475890012588503,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,6,5,0.9333333333333333,0.03673066654512706,0.9002659643932767,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,6,5,0.8235294117647058,0.03056099698244134,0.7991078783071169,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.05,7,1,0.8235294117647058,0.12506016064801695,0.7319869999577319,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,7,5,0.9333333333333333,0.05310816430754678,0.8862654046054526,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,7,5,0.9333333333333333,0.05124161165952842,0.8878390305154865,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.05,8,1,0.75,0.1455392605918698,0.6547134836849633,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,8,5,0.875,0.04227697380577536,0.8395081365033141,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,8,5,0.875,0.043096509535452535,0.8388485552402865,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.05,9,1,0.8571428571428571,0.14811196021803671,0.7465673094983507,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,9,5,0.9333333333333333,0.05286571677859869,0.8864694884253685,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,9,5,0.9333333333333333,0.05346922451134622,0.8859616509122626,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.1,0,1,0.7058823529411765,1.2671146662706718,0.3113571463512825,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,0,5,0.8571428571428571,1.3393013165345524,0.36640976991054364,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,0,5,0.7368421052631579,0.26179074847542055,0.5839653731440491,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.1,1,1,0.875,0.2338698750233198,0.7091509548229004,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,1,5,0.875,0.07693156636028835,0.8124935950733085,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,1,5,0.7777777777777778,0.226583909868104,0.6341007504830332,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.1,2,1,0.6086956521739131,0.4080351212916468,0.43230146959369325,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,2,5,0.9333333333333333,0.05308395984935335,0.8862857748463374,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,2,5,0.7777777777777778,0.1629090266648311,0.6688208277206413,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.1,3,1,0.9333333333333333,0.21465294130370333,0.7683950712139833,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,3,5,0.9333333333333333,0.08248670930189768,0.86221227966415,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,3,5,0.7,0.30976151533770596,0.5344484410350945,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.1,4,1,0.8235294117647058,0.22154847537185157,0.6741684250508481,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,4,5,0.75,0.1295475495820731,0.6639826718914987,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,4,5,0.75,0.12183667445681313,0.6685465157957559,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.1,5,1,0.8,0.16253885958114414,0.688149039842191,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,5,5,0.8,0.43797938868580266,0.5563362078027667,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,5,5,0.5833333333333334,0.617163390808426,0.3607139121803412,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.1,6,1,0.7368421052631579,0.19735136749781648,0.6153933801428607,0.1,ok
