system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,spline_alpha,spline_cv_error,spline_cv_folds,gp_kernel,gp_cv_error,gp_cv_folds,support_f1,coef_error,practical_score,threshold,status
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.05,0,5,,,0,,,0,0.8,0.12973258164978146,0.7081321836639753,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.05,0,5,,,0,,,0,0.8235294117647058,0.0599511966237831,0.7769503109085197,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.05,1,5,,,0,,,0,0.875,0.0714336878379232,0.8166627668443837,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.05,1,5,,,0,,,0,0.8235294117647058,0.0878638995834996,0.7570151119823011,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.05,2,5,,,0,,,0,0.9333333333333333,0.03639502561337896,0.9005575193502596,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.05,2,5,,,0,,,0,0.7777777777777778,0.160297802751794,0.6703259938381153,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.05,3,5,,,0,,,0,0.7777777777777778,0.06024376936153954,0.7335839174477224,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.05,3,5,,,0,,,0,0.75,1.5833838650026955,0.29031690185895676,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.05,4,5,,,0,,,0,0.7058823529411765,1.297372531413086,0.3072563736569954,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.05,4,5,,,0,,,0,0.875,0.04673827672909105,0.8359300691040468,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.05,5,5,,,0,,,0,0.9333333333333333,0.0217735761035815,0.9134443825534174,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.05,5,5,,,0,,,0,0.75,1.2755667053922326,0.32958822882352057,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.05,6,5,,,0,,,0,0.875,0.1471508472947742,0.7627593198082329,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.05,6,5,,,0,,,0,0.8235294117647058,0.12806135044403913,0.7300395598524315,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.05,7,5,,,0,,,0,0.8235294117647058,0.07485952513807807,0.766173990651396,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.05,7,5,,,0,,,0,0.9333333333333333,0.06407984483709983,0.8771271609568148,0.3,ok
