system,sparse_factor,noise,seed,control,delta_f1,delta_error,delta_score,edmd_score_win,edmd_score_tie
vanderpol_mu2,16,0.2,2,tv_weak,0.19047619047619047,-0.3072157912471378,0.20223342383422532,1,0
vanderpol_mu2,16,0.2,3,tv_weak,0.2727272727272727,-0.4431538470238436,0.40474918804071525,1,0
vanderpol_mu2,16,0.2,4,tv_weak,-0.25,0.344070612605899,-0.35196372005082077,0,0
vanderpol_mu2,64,0.05,0,tv_weak,0.1428571428571429,-0.2886842422475921,0.3212210397150951,1,0
vanderpol_mu2,64,0.05,1,tv_weak,0.0,-0.014790103454766602,0.014318683615117456,1,0
vanderpol_mu2,64,0.05,2,tv_weak,0.0,0.019063261741615906,-0.018240085849153598,0,0
vanderpol_mu2,64,0.05,3,tv_weak,0.0,-0.037956654928938696,0.0344398750554058,1,0
vanderpol_mu2,64,0.05,4,tv_weak,0.0,-0.03435997755196531,0.03217445856341106,1,0
vanderpol_mu2,64,0.1,0,tv_weak,-0.1428571428571429,0.2836486488845906,-0.23807239512055545,0,0
vanderpol_mu2,64,0.1,1,tv_weak,-0.1428571428571429,0.3736519907982074,-0.3363685372215489,0,0
vanderpol_mu2,64,0.1,2,tv_weak,0.0,-0.060389742232104505,0.05313401447127597,1,0
vanderpol_mu2,64,0.1,3,tv_weak,-0.1428571428571429,0.275194728632243,-0.28342956474373315,0,0
vanderpol_mu2,64,0.1,4,tv_weak,-0.25,0.46439851410895144,-0.4570021533766024,0,0
vanderpol_mu2,64,0.2,0,tv_weak,-0.30000000000000004,8.387500633355582e-05,-0.16353581343466428,0,0
vanderpol_mu2,64,0.2,1,tv_weak,-0.4571428571428571,0.502213396499668,-0.38728242284836967,0,0
vanderpol_mu2,64,0.2,2,tv_weak,-0.12121212121212122,0.5101874959101851,-0.12477545891657627,0,0
vanderpol_mu2,64,0.2,3,tv_weak,-0.5,0.8681958951405502,-0.4916095385997097,0,0
vanderpol_mu2,64,0.2,4,tv_weak,0.0,-0.12994836199785043,0.08632354107325335,1,0
