system,noise,sparse_factor,comparator,n_pairs,n_seeds,support_f1_delta_mean,support_f1_delta_seed_se,support_f1_edmd_wins,support_f1_ties,support_f1_seed_mean_wins,coef_error_delta_mean,coef_error_delta_seed_se,coef_error_edmd_wins,coef_error_ties,coef_error_seed_mean_wins,practical_score_delta_mean,practical_score_delta_seed_se,practical_score_edmd_wins,practical_score_ties,practical_score_seed_mean_wins
burgers,0.1,32,baseline,5,5,-0.05333333333333332,0.053333333333333316,0,4,0,0.07108102728721784,0.05915976734041361,2,0,2,-0.03901121725501609,0.036270698242452895,2,0,2
burgers,0.2,32,baseline,5,5,0.0022222222222222144,0.04518822090591723,1,2,1,-0.0028033147201288245,0.011825101150795795,3,0,3,0.002038064891747471,0.02455798765731801,2,0,2
burgers,0.5,32,baseline,5,5,0.0,0.014054567378526115,1,3,1,0.012792876176039391,0.005652644551469041,1,0,1,-0.0013630375629237912,0.007042631962915774,2,0,2
fisher_kpp,0.05,8,baseline,5,5,0.0,0.0,0,5,0,-0.0018546495170974591,0.0016598783355674578,3,0,3,0.0013810066488673777,0.0012331379142623115,3,0,3
fisher_kpp,0.1,8,baseline,5,5,-0.09142857142857146,0.05598833697790123,0,3,0,0.25417863788460193,0.1685301463437994,2,0,2,-0.1697560024453181,0.10665202815066868,2,0,2
fisher_kpp,0.2,8,baseline,5,5,0.04571428571428573,0.04571428571428572,1,4,1,-0.09601841607302711,0.10478578434324572,3,0,3,0.0706606249618388,0.07665643732561221,3,0,3
fisher_kpp,0.5,8,baseline,5,5,0.06995670995670997,0.04608013126505254,2,3,2,-0.16094229350534867,0.10984323409214918,4,0,4,0.10944426571541624,0.08097495653911543,4,0,4
fisher_kpp,0.05,32,baseline,5,5,0.0,0.0,0,5,0,-8.215719055229831e-05,0.00503191923679547,3,0,3,3.152351646644736e-05,0.003648360962839501,3,0,3
fisher_kpp,0.1,32,baseline,5,5,0.0,0.0,0,5,0,0.15189672203258892,0.12385411027719788,1,0,1,-0.07358421055871647,0.0559794984463382,1,0,1
fisher_kpp,0.2,32,baseline,5,5,-0.026666666666666682,0.02666666666666668,0,4,0,0.0369613719431006,0.019798916011355167,2,0,2,-0.04714621067486946,0.03443149673531968,2,0,2
fisher_kpp,0.5,32,baseline,5,5,-0.1466666666666667,0.06716480559869963,0,2,0,0.7907662707329525,0.24587176989360604,0,0,0,-0.3179869395748285,0.0969216616067414,0,0,0
advection_diffusion,0.05,4,baseline,5,5,0.0,0.0,0,5,0,-0.18735398029397018,0.0042773280504986985,5,0,5,0.09801821447918849,0.0018015962294690786,5,0,5
advection_diffusion,0.1,4,baseline,5,5,0.09999999999999998,0.04082482904638629,3,2,3,-0.4209649913020207,0.01455798982565537,5,0,5,0.23100597369646408,0.022207150008252637,5,0,5
advection_diffusion,0.2,4,baseline,5,5,0.16444444444444442,0.06861954514064224,4,0,4,-0.2738791918397219,0.07454327313602647,5,0,5,0.16764469619942882,0.05933961678572638,4,0,4
advection_diffusion,0.5,4,baseline,5,5,0.0822222222222222,0.049640684230419264,3,2,3,-0.12623922743274216,0.025672277145888975,5,0,5,0.059755178652554794,0.028662607868159627,5,0,5
advection_diffusion,0.05,16,baseline,5,5,0.0,0.0,0,5,0,-0.1365405261528661,0.004777355172960817,5,0,5,0.06646506916031725,0.0027044279103953534,5,0,5
advection_diffusion,0.1,16,baseline,5,5,-0.08444444444444443,0.07829983523310162,1,1,1,-0.030148735762074674,0.09509492832856344,2,0,2,-0.03200167642446921,0.07414625391694606,2,0,2
advection_diffusion,0.2,16,baseline,5,5,0.1311111111111111,0.05582158527591319,3,2,3,-0.09430508642635818,0.011026905385285063,5,0,5,0.09167552645130458,0.03203493580846608,5,0,5
