system,method,sparse_factor,noise,seed,feature,equation,coef,true_coef
lorenz63,tv_diff,16,0.05,2,z,2,-2.2431727113082185,-2.6666666666666665
lorenz63,tv_diff,16,0.05,2,x*x,0,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*x,1,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*x,2,0.7598649318461648,0.0
lorenz63,tv_diff,16,0.05,2,x*y,0,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*y,1,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*y,2,-0.17763045279153153,1.0
lorenz63,tv_diff,16,0.05,2,x*z,0,0.11854353312348147,0.0
lorenz63,tv_diff,16,0.05,2,x*z,1,-1.1014545437589747,-1.0
lorenz63,tv_diff,16,0.05,2,x*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,2,y*y,0,0.0,0.0
lorenz63,tv_diff,16,0.05,2,y*y,1,0.0,0.0
lorenz63,tv_diff,16,0.05,2,y*y,2,0.38897360900303,0.0
lorenz63,tv_diff,16,0.05,2,y*z,0,-0.09157290549620323,0.0
lorenz63,tv_diff,16,0.05,2,y*z,1,0.20713296363679887,0.0
lorenz63,tv_diff,16,0.05,2,y*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,2,z*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,2,z*z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,2,z*z,2,-0.03879240505031095,0.0
lorenz63,tv_diff,16,0.05,2,x*x*x,0,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*x*x,1,0.05000255813787076,0.0
lorenz63,tv_diff,16,0.05,2,x*x*x,2,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*x*y,0,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*x*y,1,-0.0430947907922702,0.0
lorenz63,tv_diff,16,0.05,2,x*x*y,2,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*x*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*x*z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*x*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*y*y,0,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*y*y,1,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*y*y,2,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*y*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*y*z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*y*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*z*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*z*z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,2,x*z*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,2,y*y*y,0,0.0,0.0
lorenz63,tv_diff,16,0.05,2,y*y*y,1,0.0,0.0
lorenz63,tv_diff,16,0.05,2,y*y*y,2,0.0,0.0
lorenz63,tv_diff,16,0.05,2,y*y*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,2,y*y*z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,2,y*y*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,2,y*z*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,2,y*z*z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,2,y*z*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,2,z*z*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,2,z*z*z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,2,z*z*z,2,0.0,0.0
lorenz63,baseline,16,0.05,3,1,0,0.0,0.0
lorenz63,baseline,16,0.05,3,1,1,0.45147837662110574,0.0
lorenz63,baseline,16,0.05,3,1,2,26.043017575951442,0.0
lorenz63,baseline,16,0.05,3,x,0,-8.526967082761347,-10.0
lorenz63,baseline,16,0.05,3,x,1,16.493327888594116,28.0
lorenz63,baseline,16,0.05,3,x,2,0.0,0.0
lorenz63,baseline,16,0.05,3,y,0,8.512586775392034,10.0
lorenz63,baseline,16,0.05,3,y,1,1.2055336908541523,-1.0
lorenz63,baseline,16,0.05,3,y,2,0.0,0.0
lorenz63,baseline,16,0.05,3,z,0,0.0,0.0
lorenz63,baseline,16,0.05,3,z,1,0.0,0.0
lorenz63,baseline,16,0.05,3,z,2,-3.700284044341584,-2.6666666666666665
lorenz63,baseline,16,0.05,3,x*x,0,0.0,0.0
lorenz63,baseline,16,0.05,3,x*x,1,0.0,0.0
lorenz63,baseline,16,0.05,3,x*x,2,0.3725381358566439,0.0
lorenz63,baseline,16,0.05,3,x*y,0,0.0,0.0
lorenz63,baseline,16,0.05,3,x*y,1,0.0,0.0
lorenz63,baseline,16,0.05,3,x*y,2,0.6032694524480459,1.0
lorenz63,baseline,16,0.05,3,x*z,0,0.0,0.0
lorenz63,baseline,16,0.05,3,x*z,1,-0.6770483719419893,-1.0
lorenz63,baseline,16,0.05,3,x*z,2,0.0,0.0
lorenz63,baseline,16,0.05,3,y*y,0,0.0,0.0
lorenz63,baseline,16,0.05,3,y*y,1,0.0,0.0
lorenz63,baseline,16,0.05,3,y*y,2,0.0,0.0
lorenz63,baseline,16,0.05,3,y*z,0,0.0,0.0
lorenz63,baseline,16,0.05,3,y*z,1,0.0,0.0
lorenz63,baseline,16,0.05,3,y*z,2,0.0,0.0
lorenz63,baseline,16,0.05,3,z*z,0,0.0,0.0
