system,sparse_factor,noise,seed,comparator,support_f1_edmd,support_f1_other,support_f1_delta,coef_error_edmd,coef_error_other,coef_error_delta,practical_score_edmd,practical_score_other,practical_score_delta
fisher_kpp,8,0.5,1,pod_tv_diff,0.8,0.5454545454545454,0.25454545454545463,0.0292601875735041,0.8886856724922447,-0.8594254849187406,0.7772573054496664,0.2888011241885381,0.48845618126112833
fisher_kpp,32,0.05,0,pod_tv_diff,0.8,0.8,0.0,0.0557365207991575,0.0396731242926389,0.0160633965065186,0.7577648250667947,0.7694726172173538,-0.011707792150559171
fisher_kpp,8,0.5,3,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.6648421071616337,0.9206431554738674,-0.2558010483122337,0.4004383741850795,0.3471059497786742,0.05333242440640529
fisher_kpp,32,0.05,1,pod_tv_diff,0.8,0.8,0.0,0.0591148586532526,0.0296982532925418,0.029416605360710796,0.7553477259466104,0.7769266359750894,-0.021578910028479004
fisher_kpp,8,0.5,2,pod_tv_diff,0.8,0.6666666666666666,0.13333333333333341,0.0748660867338184,0.9528903100009348,-0.8780242232671165,0.7442787616743493,0.3413743533124231,0.40290440836192615
fisher_kpp,32,0.05,2,pod_tv_diff,0.8,0.8,0.0,0.0497625759158294,0.0358046615573492,0.013957914358480199,0.7620770813839189,0.7723463985933283,-0.010269317209409379
fisher_kpp,8,0.5,4,pod_tv_diff,0.8,0.6666666666666666,0.13333333333333341,0.1402974196262371,0.8847082779204555,-0.7444108582942184,0.701571349922217,0.3537240614246421,0.34784728849757496
fisher_kpp,32,0.05,3,pod_tv_diff,0.8,0.8,0.0,0.0456297879309877,0.037125582031019,0.008504205899968705,0.7650891445843169,0.7713627104186821,-0.0062735658343652245
fisher_kpp,32,0.05,4,pod_tv_diff,0.8,0.8,0.0,0.0298885419395108,0.022344414879521,0.007544127059989799,0.7767830861516536,0.7825151566894182,-0.005732070537764589
fisher_kpp,32,0.1,0,pod_tv_diff,0.8,0.8,0.0,0.0522257871823086,0.0249966726992588,0.0272291144830498,0.7602930946429961,0.7804903384644698,-0.020197243821473698
fisher_kpp,32,0.1,2,pod_tv_diff,0.8,0.8,0.0,0.1685145122695321,0.0432974355310781,0.125217076738454,0.6846299225212106,0.766799546087995,-0.08216962356678448
fisher_kpp,32,0.1,1,pod_tv_diff,0.8,0.8,0.0,0.6866130801988295,0.0419265809425521,0.6446864992562774,0.4743233699490167,0.7678084182057248,-0.29348504825670807
fisher_kpp,32,0.1,3,pod_tv_diff,0.8,0.8,0.0,0.0236909808794226,0.0227521472364626,0.0009388336429600012,0.7814858340480286,0.7822031976776072,-0.0007173636295785268
fisher_kpp,32,0.2,0,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.1417218550814483,0.8323391520551179,-0.6906172969736696,0.5839133793397586,0.3638336636091334,0.22007971573062524
