system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,pod_rank,rank_mode,rank_cv_error,rank_cv_folds,rank_grid,spline_alpha,spline_cv_error,spline_cv_folds,support_f1,coef_error,practical_score,threshold,status,gp_kernel,gp_cv_error,gp_cv_folds,gp_cv_spatial_points
burgers,baseline,Baseline,4,0.02,0.05,5,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.4609372323807248,0.4563280693314079,0.1,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.05,5,5,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.39035087973925,0.4794952672606608,0.1,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.05,5,5,0,cv,,0,"1,2,3,4,6,8",10.0,0.0800775576080133,4,0.6666666666666666,0.1636819737889309,0.572894211376335,0.1,ok,,,,
burgers,baseline,Baseline,4,0.02,0.05,6,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.4591418609032362,0.4568895489393933,0.1,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.05,6,5,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.3908139411961555,0.4793356227744644,0.1,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.05,6,5,0,cv,,0,"1,2,3,4,6,8",10.0,0.0822854904264948,4,0.6666666666666666,0.1613273573616278,0.5740557668263662,0.1,ok,,,,
burgers,baseline,Baseline,4,0.02,0.05,7,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.4592074493954404,0.4568690126567482,0.1,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.05,7,5,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.402406808971825,0.4753732386363936,0.1,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.05,7,5,0,cv,,0,"1,2,3,4,6,8",10.0,0.0856206707008807,4,0.6666666666666666,0.1623328523796183,0.5735591705093895,0.1,ok,,,,
burgers,baseline,Baseline,4,0.02,0.1,0,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.6940316596883148,0.3935384931290639,0.1,ok,,,,
