setting,system,method,strategy,seed,sparse_factor,noise,support_f1,coef_error,practical_score,threshold,status
ODE,lorenz63,edmd_rbf,baseline,11,64,0.1,0.4444444444444444,1.0556814869231699,0.21620297077718212,1.0,ok
ODE,lorenz63,edmd_rbf,local_reset,11,64,0.1,0.37037037037037035,2.0250032807236336,0.12243635328612645,0.1,ok
ODE,lorenz63,edmd_rbf,global_rollout,11,64,0.1,0.5714285714285714,1.4887736209722542,0.22960247031441108,1.0,ok
ODE,lorenz63,edmd_rbf,residual_corrected,11,64,0.1,0.29411764705882354,2.418177981246142,0.08604515290675387,0.03,ok
ODE,lorenz63,edmd_rbf,two_sided,11,64,0.1,0.43478260869565216,1.5126043479376678,0.17304061781653743,0.1,ok
ODE,lorenz63,edmd_poly3,baseline,12,64,0.1,0.6666666666666666,1.0313928070173424,0.32818205536797257,1.0,ok
ODE,lorenz63,edmd_poly3,local_reset,12,64,0.1,0.6666666666666666,1.036485581117191,0.327361348810013,1.0,ok
ODE,lorenz63,edmd_poly3,global_rollout,12,64,0.1,0.26666666666666666,1.1538607961344205,0.12380868213268888,1.0,ok
ODE,lorenz63,edmd_poly3,residual_corrected,12,64,0.1,0.5882352941176471,1.3140480955262743,0.2542018444883995,0.3,ok
ODE,lorenz63,edmd_poly3,two_sided,12,64,0.1,0.5882352941176471,1.2622306039917497,0.26002446129041595,0.3,ok
ODE,lorenz63,edmd_rbf,baseline,12,64,0.1,0.6666666666666666,1.0313928070173424,0.32818205536797257,1.0,ok
ODE,lorenz63,edmd_rbf,local_reset,12,64,0.1,0.5833333333333334,1.3563938224642813,0.2475534130891975,0.1,ok
ODE,lorenz63,edmd_rbf,global_rollout,12,64,0.1,0.375,1.109285731228063,0.1777853016535927,1.0,ok
ODE,lorenz63,edmd_rbf,residual_corrected,12,64,0.1,0.5333333333333333,1.0834162490393,0.2559898117235395,0.3,ok
ODE,lorenz63,edmd_rbf,two_sided,12,64,0.1,0.5,1.0257301558875072,0.24682458250760522,0.3,ok
ODE,lorenz63,edmd_poly3,baseline,13,64,0.1,0.6666666666666666,1.0268617937249156,0.3289157004836938,1.0,ok
ODE,lorenz63,edmd_poly3,local_reset,13,64,0.1,0.6153846153846154,1.0739874655292319,0.2967156868653418,1.0,ok
ODE,lorenz63,edmd_poly3,global_rollout,13,64,0.1,0.35294117647058826,14.58973257401016,0.022639334882432874,0.3,ok
